collection_date,Served population,Expectd population,Probability,Test,Case,IAV,IBV,Percentage,Sample,IAV_2,IAV_3,IAV_2_w,IAV_3_w
,,,,,,,,,,,,,
2022/1/2,,,,,,,,,,,,,
2022/1/3,,,,,,,,,,,,,
2022/1/4,,,,,,,,,,,,,
2022/1/5,,,,,,,,,,,,,
2022/1/6,,,,,,,,,,,,,
2022/1/7,,,,,,,,,,,,,
2022/1/8,,,,,,,,,,,,,
2022/1/9,,,,,,,,,,,,,
2022/1/10,,,,,,,,,,,,,
2022/1/11,,,,,,,,,,,,,
2022/1/12,,,,,,,,,,,,,
2022/1/13,,,,,,,,,,,,,
2022/1/14,,,,,,,,,,,,,
2022/1/15,,,,,,,,,,,,,
2022/1/16,,,,,,,,,,,,,
2022/1/17,,,,,,,,,,,,,
2022/1/18,,,,,,,,,,,,,
2022/1/19,,,,,,,,,,,,,
2022/1/20,,,,,,,,,,,,,
2022/1/21,,,,,,,,,,,,,
2022/1/22,,,,,,,,,,,,,
2022/1/23,,,,,,,,,,,,,
2022/1/24,,,,,,,,,,,,,
2022/1/25,,,,,,,,,,,,,
2022/1/26,,,,,,,,,,,,,
2022/1/27,,,,,,,,,,,,,
2022/1/28,,,,,,,,,,,,,
2022/1/29,,,,,,,,,,,,,
2022/1/30,,,,,,,,,,,,,
2022/1/31,,,,,,,,,,,,,
2022/2/1,,,,,,,,,,,,,
2022/2/2,,,,,,,,,,,,,
2022/2/3,,,,,,,,,,,,,
2022/2/4,,,,,,,,,,,,,
2022/2/5,,,,,,,,,,,,,
2022/2/6,,,,,,,,,,,,,
2022/2/7,,,,,,,,,,,,,
2022/2/8,,,,,,,,,,,,,
2022/2/9,,,,,,,,,,,,,
2022/2/10,,,,,,,,,,,,,
2022/2/11,,,,,,,,,,,,,
2022/2/12,,,,,,,,,,,,,
2022/2/13,,,,,,,,,,,,,
2022/2/14,,,,,,,,,,,,,
2022/2/15,,,,,,,,,,,,,
2022/2/16,,,,,,,,,,,,,
2022/2/17,,,,,,,,,,,,,
2022/2/18,,,,,,,,,,,,,
2022/2/19,,,,,,,,,,,,,
2022/2/20,,,,,,,,,,,,,
2022/2/21,,,,,,,,,,,,,
2022/2/22,,,,,,,,,,,,,
2022/2/23,,,,,,,,,,,,,
2022/2/24,,,,,,,,,,,,,
2022/2/25,,,,,,,,,,,,,
2022/2/26,,,,,,,,,,,,,
2022/2/27,,,,,,,,,,,,,
2022/2/28,,,,,,,,,,,,,
2022/3/1,,,,,,,,,,,,,
2022/3/2,,,,,,,,,,,,,
2022/3/3,,,,,,,,,,,,,
2022/3/4,,,,,,,,,,,,,
2022/3/5,,,,,,,,,,,,,
2022/3/6,,,,,,,,,,,,,
2022/3/7,,,,,,,,,,,,,
2022/3/8,,,,,,,,,,,,,
2022/3/9,,,,,,,,,,,,,
2022/3/10,,,,,,,,,,,,,
2022/3/11,,,,,,,,,,,,,
2022/3/12,,,,,,,,,,,,,
2022/3/13,,,,,,,,,,,,,
2022/3/14,,,,,,,,,,,,,
2022/3/15,,,,,,,,,,,,,
2022/3/16,,,,,,,,,,,,,
2022/3/17,,,,,,,,,,,,,
2022/3/18,,,,,,,,,,,,,
2022/3/19,,,,,,,,,,,,,
2022/3/20,,,,,,,,,,,,,
2022/3/21,,,,,,,,,,,,,
2022/3/22,,,,,,,,,,,,,
2022/3/23,,,,,,,,,,,,,
2022/3/24,,,,,,,,,,,,,
2022/3/25,,,,,,,,,,,,,
2022/3/26,,,,,,,,,,,,,
2022/3/27,,,,,,,,,,,,,
2022/3/28,,,,,,,,,,,,,
2022/3/29,,,,,,,,,,,,,
2022/3/30,,,,,,,,,,,,,
2022/3/31,,,,,,,,,,,,,
2022/4/1,,,,,,,,,,,,,
2022/4/2,,,,,,,,,,,,,
2022/4/3,,,,,,,,,,,,,
2022/4/4,,,,,,,,,,,,,
2022/4/5,,,,,,,,,,,,,
2022/4/6,,,,,,,,,,,,,
2022/4/7,,,,,,,,,,,,,
2022/4/8,,,,,,,,,,,,,
2022/4/9,,,,,,,,,,,,,
2022/4/10,,,,,,,,,,,,,
2022/4/11,,,,,,,,,,,,,
2022/4/12,,,,,,,,,,,,,
2022/4/13,,,,,,,,,,,,,
2022/4/14,,,,,,,,,,,,,
2022/4/15,,,,,,,,,,,,,
2022/4/16,,,,,,,,,,,,,
2022/4/17,,,,,,,,,,,,,
2022/4/18,,,,,,,,,,,,,
2022/4/19,,,,,,,,,,,,,
2022/4/20,,,,,,,,,,,,,
2022/4/21,,,,,,,,,,,,,
2022/4/22,,,,,,,,,,,,,
2022/4/23,,,,,,,,,,,,,
2022/4/24,,,,,,,,,,,,,
2022/4/25,,,,,,,,,,,,,
2022/4/26,,,,,,,,,,,,,
2022/4/27,,,,,,,,,,,,,
2022/4/28,,,,,,,,,,,,,
2022/4/29,,,,,,,,,,,,,
2022/4/30,,,,,,,,,,,,,
2022/5/1,,,,,,,,,,,,,
2022/5/2,,,,,,,,,,,,,
2022/5/3,,,,,,,,,,,,,
2022/5/4,,,,,,,,,,,,,
2022/5/5,,,,,,,,,,,,,
2022/5/6,,,,,,,,,,,,,
2022/5/7,,,,,,,,,,,,,
2022/5/8,,,,,,,,,,,,,
2022/5/9,,,,,,,,,,,,,
2022/5/10,,,,,,,,,,,,,
2022/5/11,,,,,,,,,,,,,
2022/5/12,,,,,,,,,,,,,
2022/5/13,,,,,,,,,,,,,
2022/5/14,,,,,,,,,,,,,
2022/5/15,,,,,,,,,,,,,
2022/5/16,,,,,,,,,,,,,
2022/5/17,,,,,,,,,,,,,
2022/5/18,,,,,,,,,,,,,
2022/5/19,,,,,,,,,,,,,
2022/5/20,,,,,,,,,,,,,
2022/5/21,,,,,,,,,,,,,
2022/5/22,,,,,,,,,,,,,
2022/5/23,,,,,,,,,,,,,
2022/5/24,,,,,,,,,,,,,
2022/5/25,,,,,,,,,,,,,
2022/5/26,,,,,,,,,,,,,
2022/5/27,,,,,,,,,,,,,
2022/5/28,,,,,,,,,,,,,
2022/5/29,,,,,,,,,,,,,
2022/5/30,,,,,,,,,,,,,
2022/5/31,,,,,,,,,,,,,
2022/6/1,,,,,,,,,,,,,
2022/6/2,,,,,,,,,,,,,
2022/6/3,,,,,,,,,,,,,
2022/6/4,,,,,,,,,,,,,
2022/6/5,,,,,,,,,,,,,
2022/6/6,,,,,,,,,,,,,
2022/6/7,,,,,,,,,,,,,
2022/6/8,,,,,,,,,,,,,
2022/6/9,,,,,,,,,,,,,
2022/6/10,,,,,,,,,,,,,
2022/6/11,,,,,,,,,,,,,
2022/6/12,,,,,,,,,,,,,
2022/6/13,,,,,,,,,,,,,
2022/6/14,,,,,,,,,,,,,
2022/6/15,,,,,,,,,,,,,
2022/6/16,,,,,,,,,,,,,
2022/6/17,,,,,,,,,,,,,
2022/6/18,,,,,,,,,,,,,
2022/6/19,,,,,,,,,,,,,
2022/6/20,,,,,,,,,,,,,
2022/6/21,,,,,,,,,,,,,
2022/6/22,,,,,,,,,,,,,
2022/6/23,,,,,,,,,,,,,
2022/6/24,,,,,,,,,,,,,
2022/6/25,,,,,,,,,,,,,
2022/6/26,,,,,,,,,,,,,
2022/6/27,,,,,,,,,,,,,
2022/6/28,,,,,,,,,,,,,
2022/6/29,,,,,,,,,,,,,
2022/6/30,,,,,,,,,,,,,
2022/7/1,,,,,,,,,,,,,
2022/7/2,,,,,,,,,,,,,
2022/7/3,,,,,,,,,,,,,
2022/7/4,,,,,,,,,,,,,
2022/7/5,,,,,,,,,,,,,
2022/7/6,,,,,,,,,,,,,
2022/7/7,,,,,,,,,,,,,
2022/7/8,,,,,,,,,,,,,
2022/7/9,,,,,,,,,,,,,
2022/7/10,,,,,,,,,,,,,
2022/7/11,,,,,,,,,,,,,
2022/7/12,,,,,,,,,,,,,
2022/7/13,,,,,,,,,,,,,
2022/7/14,,,,,,,,,,,,,
2022/7/15,,,,,,,,,,,,,
2022/7/16,,,,,,,,,,,,,
2022/7/17,,,,,,,,,,,,,
2022/7/18,,,,,,,,,,,,,
2022/7/19,,,,,,,,,,,,,
2022/7/20,,,,,,,,,,,,,
2022/7/21,,,,,,,,,,,,,
2022/7/22,,,,,,,,,,,,,
2022/7/23,,,,,,,,,,,,,
2022/7/24,,,,,,,,,,,,,
2022/7/25,,,,,,,,,,,,,
2022/7/26,,,,,,,,,,,,,
2022/7/27,,,,,,,,,,,,,
2022/7/28,,,,,,,,,,,,,
2022/7/29,,,,,,,,,,,,,
2022/7/30,,,,,,,,,,,,,
2022/7/31,,,,,,,,,,,,,
2022/8/1,,,,,,,,,,,,,
2022/8/2,,,,,,,,,,,,,
2022/8/3,,,,,,,,,,,,,
2022/8/4,,,,,,,,,,,,,
2022/8/5,,,,,,,,,,,,,
2022/8/6,,,,,,,,,,,,,
2022/8/7,,,,,,,,,,,,,
2022/8/8,,,,,,,,,,,,,
2022/8/9,,,,,,,,,,,,,
2022/8/10,,,,,,,,,,,,,
2022/8/11,,,,,,,,,,,,,
2022/8/12,,,,,,,,,,,,,
2022/8/13,,,,,,,,,,,,,
2022/8/14,,,,,,,,,,,,,
2022/8/15,,,,,,,,,,,,,
2022/8/16,,,,,,,,,,,,,
2022/8/17,,,,,,,,,,,,,
2022/8/18,,,,,,,,,,,,,
2022/8/19,,,,,,,,,,,,,
2022/8/20,,,,,,,,,,,,,
2022/8/21,,,,,,,,,,,,,
2022/8/22,,,,,,,,,,,,,
2022/8/23,,,,,,,,,,,,,
2022/8/24,,,,,,,,,,,,,
2022/8/25,,,,,,,,,,,,,
2022/8/26,,,,,,,,,,,,,
2022/8/27,,,,,,,,,,,,,
2022/8/28,,,,,,,,,,,,,
2022/8/29,,,,,,,,,,,,,
2022/8/30,,,,,,,,,,,,,
2022/8/31,,,,,,,,,,,,,
2022/9/1,,,,,,,,,,,,,
2022/9/2,,,,,,,,,,,,,
2022/9/3,70435266,19713838,27.98859026,,,,,,,,,,
2022/9/4,,,,,,,,,,,,,
2022/9/5,,,,,,,,,,,,,
2022/9/6,,,,,,,,,,,,,
2022/9/7,,,,,,,,,,,,,
2022/9/8,,,,,,,,,,,,,
2022/9/9,,,,,,,,,,,,,
2022/9/10,70355266,23692500,33.67551762,,,,,,87,,,,
2022/9/11,,,,,,,,,87,,,,
2022/9/12,,,,,,,,,88,,,,
2022/9/13,,,,,,,,,89,,,,
2022/9/14,,,,,,,,,89,,,,
2022/9/15,,,,,,,,,87,,,,
2022/9/16,,,,,,,,,87,,,,
2022/9/17,66603266,27520100,41.31944521,,,,,,87,,,,
2022/9/18,,,,,,,,,87,,,,
2022/9/19,,,,,,,,,86,,,,
2022/9/20,,,,,,,,,86,,,,
2022/9/21,,,,,,,,,84,,,,
2022/9/22,,,,,,,,,86,,,,
2022/9/23,,,,,,,,,86,,,,
2022/9/24,69119016,22638600,32.75307044,,,,,,86,,,,
2022/9/25,,,,,,,,,87,,,,
2022/9/26,,,,,,,,,88,,,,
2022/9/27,,,,,,,,,87,,,,
2022/9/28,,,,,,,,,90,,,,
2022/9/29,,,,,,,,,91,,,,
2022/9/30,,,,,,,,,92,,,,
2022/10/1,71342266,24077000,33.7485776,Not available,,,,0.1,92,,,,
2022/10/2,,,,,,,,,93,,,,
2022/10/3,,,,,,,,,92,,,,
2022/10/4,,,,,,,,,94,,,,
2022/10/5,,,,,,,,,94,,,,
2022/10/6,,,,,,,,,93,,,,
2022/10/7,,,,,,,,,92,,,,
2022/10/8,71347266,42589200,59.69282691,8826,167,165,2,0.03,92,165,165,128.7362637,117.15
2022/10/9,,,,,,,,,90,,,,
2022/10/10,,,,,,,,,92,,,,
2022/10/11,,,,,,,,,91,,,,
2022/10/12,,,,,,,,,90,,,,
2022/10/13,,,,,,,,,90,,,,
2022/10/14,,,,,,,,,91,,,,
2022/10/15,71281766,47367476,66.45104163,9887,522,518,4,0.04,91,683,683,442.2307692,402.43
2022/10/16,,,,,,,,,91,,,,
2022/10/17,,,,,,,,,91,,,,
2022/10/18,,,,,,,,,92,,,,
2022/10/19,,,,,,,,,93,,,,
2022/10/20,,,,,,,,,94,,,,
2022/10/21,,,,,,,,,93,,,,
2022/10/22,71500266,52691876,73.6946573,11218,743,733,10,0.051,93,1251,1416,691.4395604,642.41
2022/10/23,,,,,,,,,93,,,,
2022/10/24,,,,,,,,,93,,,,
2022/10/25,,,,,,,,,92,,,,
2022/10/26,,,,,,,,,92,,,,
2022/10/27,,,,,,,,,93,,,,
2022/10/28,,,,,,,,,93,,,,
2022/10/29,68150266,61882064,90.80238073,16001,1265,1257,8,0.065,93,1990,2508,1149.89011,1087.84
2022/10/30,,,,,,,,,94,,,,
2022/10/31,,,,,,,,,92,,,,
2022/11/1,,,,,,,,,91,,,,
2022/11/2,,,,,,,,,92,,,,
2022/11/3,,,,,,,,,92,,,,
2022/11/4,,,,,,,,,92,,,,
2022/11/5,71238266,68329328,95.91660752,17642,2490,2481,9,0.115,92,3738,4471,2225.802198,2084.12
2022/11/6,,,,,,,,,91,,,,
2022/11/7,,,,,,,,,93,,,,
2022/11/8,,,,,,,,,94,,,,
2022/11/9,,,,,,,,,95,,,,
2022/11/10,,,,,,,,,92,,,,
2022/11/11,,,,,,,,,92,,,,
2022/11/12,70415466,69780666,99.0984935,20134,2344,2337,7,0.155,92,4818,6075,2395.912088,2280.84
2022/11/13,,,,,,,,,93,,,,
2022/11/14,,,,,,,,,92,,,,
2022/11/15,,,,,,,,,91,,,,
2022/11/16,,,,,,,,,91,,,,
2022/11/17,,,,,,,,,91,,,,
2022/11/18,,,,,,,,,92,,,,
2022/11/19,71330266,70360666,98.64068921,61428,10509,10473,36,0.186,92,12810,15291,8710.549451,8125.08
2022/11/20,,,,,,,,,92,,,,
2022/11/21,,,,,,,,,94,,,,
2022/11/22,,,,,,,,,97,,,,
2022/11/23,,,,,,,,,92,,,,
2022/11/24,,,,,,,,,89,,,,
2022/11/25,,,,,,,,,88,,,,
2022/11/26,69366416,69366416,100,29225,6807,6801,6,0.232,88,17274,19611,7723.120879,7215
2022/11/27,,,,,,,,,89,,,,
2022/11/28,,,,,,,,,87,,,,
2022/11/29,,,,,,,,,86,,,,
2022/11/30,,,,,,,,,89,,,,
2022/12/1,,,,,,,,,95,,,,
2022/12/2,,,,,,,,,97,,,,
2022/12/3,71807266,70837666,98.64971882,35206,7952,7939,13,0.23,97,14740,25213,7763.626374,7902.74
2022/12/4,,,,,,,,,97,,,,
2022/12/5,,,,,,,,,99,,,,
2022/12/6,,,,,,,,,100,,,,
2022/12/7,,,,,,,,,102,,,,
2022/12/8,,,,,,,,,103,,,,
2022/12/9,,,,,,,,,103,,,,
2022/12/10,73489266,71779666,97.67367387,32325,7185,7173,12,0.222,103,15112,21913,7428.593407,7304.1
2022/12/11,,,,,,,,,103,,,,
2022/12/12,,,,,,,,,103,,,,
2022/12/13,,,,,,,,,102,,,,
2022/12/14,,,,,,,,,102,,,,
2022/12/15,,,,,,,,,102,,,,
2022/12/16,,,,,,,,,102,,,,
2022/12/17,73339266,72139666,98.36431415,27318,5254,5246,8,0.193,102,12419,20358,5748.340659,5866.11
2022/12/18,,,,,,,,,102,,,,
2022/12/19,,,,,,,,,103,,,,
2022/12/20,,,,,,,,,103,,,,
2022/12/21,,,,,,,,,102,,,,
2022/12/22,,,,,,,,,99,,,,
2022/12/23,,,,,,,,,98,,,,
2022/12/24,71923416,71923416,100,21195,3720,3714,6,0.175,98,8960,16133,4108.351648,4312.44
2022/12/25,,,,,,,,,95,,,,
2022/12/26,,,,,,,,,97,,,,
2022/12/27,,,,,,,,,94,,,,
2022/12/28,,,,,,,,,94,,,,
2022/12/29,,,,,,,,,93,,,,
2022/12/30,,,,,,,,,94,,,,
2022/12/31,70451416,70451416,100,22075,2837,2822,15,0.129,94,6536,11782,3058.857143,3203.24
2023/1/1,,,,,,,,,95,,,,
2023/1/2,,,,,,,,,91,,,,
2023/1/3,,,,,,,,,95,,,,
2023/1/4,,,,,,,,,97,,,,
2023/1/5,,,,,,,,,98,,,,
2023/1/6,,,,,,,,,98,,,,
2023/1/7,71309666,71149666,99.77562649,18365,1289,1279,10,0.072,98,4101,7815,1649.131868,1797.83
2023/1/8,,,,,,,,,100,,,,
2023/1/9,,,,,,,,,100,,,,
2023/1/10,,,,,,,,,99,,,,
2023/1/11,,,,,,,,,98,,,,
2023/1/12,,,,,,,,,102,,,,
2023/1/13,,,,,,,,,101,,,,
2023/1/14,73027266,70005990,95.86281102,16117,558,549,9,0.035,101,1828,4650,723.4945055,884.14
2023/1/15,,,,,,,,,99,,,,
2023/1/16,,,,,,,,,101,,,,
2023/1/17,,,,,,,,,102,,,,
2023/1/18,,,,,,,,,101,,,,
2023/1/19,,,,,,,,,100,,,,
2023/1/20,,,,,,,,,101,,,,
2023/1/21,72965266,56561990,77.51906229,14195,272,259,13,0.019,101,808,2087,328.7692308,401.5
2023/1/22,,,,,,,,,103,,,,
2023/1/23,,,,,,,,,102,,,,
2023/1/24,,,,,,,,,101,,,,
2023/1/25,,,,,,,,,102,,,,
2023/1/26,,,,,,,,,101,,,,
2023/1/27,,,,,,,,,102,,,,
2023/1/28,73339266,54911976,74.87390997,14332,204,189,15,0.014,102,448,997,207.2307692,232.5
2023/1/29,,,,,,,,,101,,,,
2023/1/30,,,,,,,,,101,,,,
2023/1/31,,,,,,,,,100,,,,
2023/2/1,,,,,,,,,102,,,,
2023/2/2,,,,,,,,,103,,,,
2023/2/3,,,,,,,,,102,,,,
2023/2/4,73227266,41684976,56.92548456,15718,180,161,19,0.011,102,350,609,169.2307692,174.72
2023/2/5,,,,,,,,,102,,,,
2023/2/6,,,,,,,,,103,,,,
2023/2/7,,,,,,,,,103,,,,
2023/2/8,,,,,,,,,103,,,,
2023/2/9,,,,,,,,,102,,,,
2023/2/10,,,,,,,,,103,,,,
2023/2/11,73427266,45537388,62.01700061,13622,132,117,15,0.01,103,278,467,128.4395604,132
2023/2/12,,,,,,,,,104,,,,
2023/2/13,,,,,,,,,102,,,,
2023/2/14,,,,,,,,,104,,,,
2023/2/15,,,,,,,,,101,,,,
2023/2/16,,,,,,,,,100,,,,
2023/2/17,,,,,,,,,99,,,,
2023/2/18,72327466,38395400,53.0855042,15206,110,94,16,0.007,99,211,372,100.3406593,104.19
2023/2/19,,,,,,,,,97,,,,
2023/2/20,,,,,,,,,95,,,,
2023/2/21,,,,,,,,,97,,,,
2023/2/22,,,,,,,,,98,,,,
2023/2/23,,,,,,,,,99,,,,
2023/2/24,,,,,,,,,100,,,,
2023/2/25,70295016,24598800,34.99366157,14880,105,84,21,0.007,100,178,295,87.23076923,88.74
2023/2/26,,,,,,,,,102,,,,
2023/2/27,,,,,,,,,106,,,,
2023/2/28,,,,,,,,,102,,,,
2023/3/1,,,,,,,,,103,,,,
2023/3/2,,,,,,,,,103,,,,
2023/3/3,,,,,,,,,101,,,,
2023/3/4,72854466,40430738,55.49520876,14694,109,75,34,0.007,101,159,253,77.9010989,78.41
2023/3/5,,,,,,,,,98,,,,
2023/3/6,,,,,,,,,100,,,,
2023/3/7,,,,,,,,,101,,,,
2023/3/8,,,,,,,,,100,,,,
2023/3/9,,,,,,,,,101,,,,
2023/3/10,,,,,,,,,102,,,,
2023/3/11,72739266,24926850,34.26876757,13096,119,82,37,0.009,102,157,241,81.28571429,80.69
2023/3/12,,,,,,,,,105,,,,
2023/3/13,,,,,,,,,102,,,,
2023/3/14,,,,,,,,,102,,,,
2023/3/15,,,,,,,,,103,,,,
2023/3/16,,,,,,,,,101,,,,
2023/3/17,,,,,,,,,102,,,,
2023/3/18,72739266,19135200,26.30656185,12605,80,54,26,0.006,102,136,211,61.05494505,61.56
2023/3/19,,,,,,,,,102,,,,
2023/3/20,,,,,,,,,101,,,,
2023/3/21,,,,,,,,,102,,,,
2023/3/22,,,,,,,,,102,,,,
2023/3/23,,,,,,,,,103,,,,
2023/3/24,,,,,,,,,103,,,,
2023/3/25,73489266,31847800,43.33666906,12538,82,48,34,0.006,103,102,184,49.91208791,51.98
2023/3/26,,,,,,,,,102,,,,
2023/3/27,,,,,,,,,105,,,,
2023/3/28,,,,,,,,,104,,,,
2023/3/29,,,,,,,,,103,,,,
2023/3/30,,,,,,,,,103,,,,
2023/3/31,,,,,,,,,102,,,,
2023/4/1,73339266,22971538,31.32229057,11999,79,48,31,0.007,102,96,150,48.52747253,48.48
2023/4/2,,,,,,,,,103,,,,
2023/4/3,,,,,,,,,101,,,,
2023/4/4,,,,,,,,,102,,,,
2023/4/5,,,,,,,,,99,,,,
2023/4/6,,,,,,,,,100,,,,
2023/4/7,,,,,,,,,100,,,,
2023/4/8,72927266,21330276,29.24869829,10887,69,41,28,0.007,100,89,137,43.06593407,43.03
2023/4/9,,,,,,,,,99,,,,
2023/4/10,,,,,,,,,100,,,,
2023/4/11,,,,,,,,,100,,,,
2023/4/12,,,,,,,,,103,,,,
2023/4/13,,,,,,,,,102,,,,
2023/4/14,,,,,,,,,103,,,,
2023/4/15,73489266,23744038,32.30953212,4473,40,21,19,0.008,103,62,110,25.84615385,27.36
2023/4/16,,,,,,,,,104,,,,
2023/4/17,,,,,,,,,102,,,,
2023/4/18,,,,,,,,,101,,,,
2023/4/19,,,,,,,,,101,,,,
2023/4/20,,,,,,,,,102,,,,
2023/4/21,,,,,,,,,101,,,,
2023/4/22,73189266,12007600,16.40623094,4804,40,24,16,0.008,101,45,86,23.57142857,24.73
2023/4/23,,,,,,,,,102,,,,
2023/4/24,,,,,,,,,102,,,,
2023/4/25,,,,,,,,,103,,,,
2023/4/26,,,,,,,,,103,,,,
2023/4/27,,,,,,,,,101,,,,
2023/4/28,,,,,,,,,102,,,,
2023/4/29,71289266,13419588,18.82413546,4234,39,27,12,0.009,102,51,72,26.6043956,25.89
2023/4/30,,,,,,,,,103,,,,
2023/5/1,,,,,,,,,103,,,,
2023/5/2,,,,,,,,,103,,,,
2023/5/3,,,,,,,,,102,,,,
2023/5/4,,,,,,,,,103,,,,
2023/5/5,,,,,,,,,102,,,,
2023/5/6,71519266,12066526,16.87171398,4037,33,15,18,0.009,103,42,66,17.93406593,18.24
2023/5/7,,,,,,,,,103,,,,
2023/5/8,,,,,,,,,102,,,,
2023/5/9,,,,,,,,,101,,,,
2023/5/10,,,,,,,,,101,,,,
2023/5/11,,,,,,,,,101,,,,
2023/5/12,,,,,,,,,101,,,,
2023/5/13,70909266,13239000,18.67033851,3950,36,19,17,0.009,100,34,61,18.28571429,18.8
2023/5/14,,,,,,,,,99,,,,
2023/5/15,,,,,,,,,100,,,,
2023/5/16,,,,,,,,,101,,,,
2023/5/17,,,,,,,,,102,,,,
2023/5/18,,,,,,,,,103,,,,
2023/5/19,,,,,,,,,103,,,,
2023/5/20,73719266,7986000,10.83298903,4177,50,23,27,0.012,104,42,57,22.32967033,21.52
2023/5/21,,,,,,,,,103,,,,
2023/5/22,,,,,,,,,104,,,,
2023/5/23,,,,,,,,,104,,,,
2023/5/24,,,,,,,,,105,,,,
2023/5/25,,,,,,,,,104,,,,
2023/5/26,,,,,,,,,102,,,,
2023/5/27,73970016,8075600,10.91739658,,,,,,101,,,,
2023/5/28,,,,,,,,,,,,,
2023/5/29,,,,,,,,,,,,,
2023/5/30,,,,,,,,,,,,,
2023/5/31,,,,,,,,,,,,,
2023/6/1,,,,,,,,,,,,,
